name,DOB,caste1,id,salary
Violet,2002/07/12,Reyes,112,122735.07
Justin,2014/07/28,Powers,92,140098.74
Rylee,2048/04/20,Barton,115,21084.37
Drake,2005/03/09,James,21,145795.38
Lily,2020/07/24,Barton,67,90687.71
Levi,2012/09/19,Barton,119,145795.38
Lucas,2054/07/01,Hubbard,123,75698.70
Mckenna,2051/06/10,Burke,16,83065.25
Richard,2014/07/28,Armstrong,97,87312.87
Kinsley,2045/11/09,Joseph,108,172008.16
Landen,2054/11/26,Pena,106,90687.71
Madeline,2019/11/29,Barton,47,54675.57
Declan,2010/02/07,Joseph,83,34488.79
Ezra,2009/08/16,Larson,75,152254.23
Braxton,2054/11/26,Allen,108,136258.54
Cameron,2051/10/27,Tate,40,141611.70
Elliot,2047/12/15,Parsons,10,83065.25
Valentina,2039/08/06,Chandler,92,62527.65
Lydia,2045/11/09,Ball,103,54675.57
Fernando,2047/12/15,Lane,9,36990.97
Riley,2054/07/01,Barton,10,159961.57
Riley,2010/02/07,Reyes,123,172008.16
Brynn,2010/10/16,Barton,20,173708.48
Trenton,2047/09/25,Joseph,106,21084.37
Nolan,2029/02/28,Yates,61,173708.48
Damian,2047/06/15,James,67,81148.74
Ezekiel,2047/12/15,Walton,83,87312.87
Jaden,2054/07/01,Burke,57,54675.57
Paxton,2054/07/01,Erickson,112,173708.48
Bryson,2016/12/17,Pena,70,125629.33
Laila,2033/10/18,Tate,32,94120.53
Skylar,2010/10/16,Armstrong,119,38568.64
Julia,2020/07/24,Joseph,85,61723.49
Joel,2033/10/18,Hubbard,67,141611.70
Brian,2051/06/10,Burke,118,10336.91
Trenton,2010/02/07,Burke,20,125629.33
Lola,2019/05/28,Keller,123,56255.76
Hayden,2002/07/12,Walton,32,125899.81
Nolan,2008/05/18,Gonzalez,27,18610.79
Juliana,2021/07/06,Nichols,27,136258.54
Cameron,2045/05/25,Joseph,60,34488.79
Mark,2039/06/17,Walton,10,83065.25
Jose,2021/06/04,Walton,96,18610.79
Paul,2054/07/01,Joseph,20,140098.74
Emma,2019/11/29,Bryant,10,125629.33
Paxton,1998/12/22,Burke,106,10336.91
Eva,2005/03/09,Ball,106,81222.46
Madeline,2029/02/28,Walton,34,46260.76
Payton,2047/11/21,Ball,60,140098.74
Natalia,2029/09/14,Powers,47,152254.23
